Read_ID,GC_Content,Read_Length,Mean_Quality
read_1,50.143619203939274,2437,30.02585145670907
read_2,49.955555555555556,2250,29.739555555555555
read_3,49.797898140662895,1237,30.227970897332256
read_4,52.50642673521851,1556,29.94987146529563
read_5,48.2415394824154,1507,30.006635700066358
read_6,50.618909665525415,3797,29.791941006057414
read_7,50.45851040035786,4471,29.81816148512637
read_8,51.44766146993318,1796,30.442650334075722
read_9,50.955980435749225,2249,29.95197865718097
read_10,49.80704293294742,4146,30.104196816208393
read_11,50.598006644518264,3010,30.15514950166113
read_12,49.14484233030465,3742,30.15633351149118
read_13,51.7217146872804,2846,30.150035137034433
read_14,49.031198686371106,3045,29.866338259441708
read_15,50.86655112651647,4616,30.038344887348355
read_16,49.704530531845045,1523,29.895600787918582
read_17,50.36895326591965,3659,29.911451216179284
read_18,49.95698308001147,3487,29.885001433897333
read_19,46.92796610169492,944,29.84957627118644
read_20,49.794988610478356,2195,29.96583143507973
read_21,50.453028135431566,2097,29.85169289461135
read_22,50.61007957559682,3770,29.97559681697613
read_23,48.466257668711656,652,29.99079754601227
read_24,52.57142857142857,1400,30.13642857142857
read_25,48.534201954397396,1535,30.00586319218241
read_26,50.11178537208559,3131,30.07313957202172
read_27,50.45871559633027,872,30.06995412844037
read_28,49.44037882049074,4646,30.01140766250538
read_29,50.88633993743483,2877,30.05839416058394
read_30,51.70940170940172,936,30.014957264957264
read_31,49.37062937062937,2860,30.025524475524474
read_32,51.10497237569061,724,29.802486187845304
read_33,51.007326007326,1092,30.096153846153847
read_34,49.774484536082475,3104,30.010309278350515
read_35,51.08527131782946,2580,29.96046511627907
read_36,46.85430463576159,604,30.105960264900663
read_37,50.36740146960588,2994,29.939879759519037
read_38,47.85276073619632,1467,30.052488070892977
read_39,50.57010785824345,3245,29.920184899845918
read_40,48.37988826815642,895,30.10949720670391
read_41,50.76310550763105,1507,29.93364299933643
read_42,50.879437160217456,3127,30.19219699392389
read_43,50.81669691470054,1102,29.843012704174228
read_44,47.88461538461539,1040,29.941346153846155
read_45,50.24330900243309,4932,29.89882400648824
read_46,48.38076545632973,1019,30.07360157016683
read_47,51.091269841269835,1008,29.581349206349206
read_48,49.700797872340424,3008,29.91090425531915
read_49,49.42571322712116,2699,30.28825490922564
read_50,50.15073212747632,4644,30.051464254952627
read_51,48.18702290076336,1048,29.80057251908397
read_52,51.33501259445844,3970,29.921158690176323
read_53,49.897645854657114,3908,30.079324462640738
read_54,48.178044280442805,4336,29.870848708487085
read_55,49.4084749408475,4649,29.97719939771994
read_56,48.66628830874007,3524,30.132236095346197
read_57,51.27811860940695,1956,29.894171779141104
read_58,49.444032616753155,2698,30.111564121571533
read_59,48.957298907646475,1007,30.16385302879841
read_60,50.02493765586035,4010,29.964588528678306
read_61,49.46705426356589,4128,29.932412790697676
read_62,50.75560187597708,3838,29.92391870766024
read_63,51.07142857142857,2520,29.923015873015874
read_64,51.07274969173859,4055,29.96424167694205
read_65,49.36150452751335,4307,30.11098212212677
read_66,49.59758551307847,3976,30.135814889336014
read_67,50.04955401387512,4036,29.7896432111001
read_68,50.86764205512079,2939,30.09424974481116
read_69,50.49881235154394,2105,29.992399049881236
read_70,50.36710719530103,1362,30.06020558002937
read_71,50.48426150121066,826,29.75181598062954
read_72,48.58569051580699,1803,29.937881308929562
read_73,51.95424213536701,1049,29.777883698760725
read_74,49.74832214765101,2384,29.931208053691275
read_75,49.189627228525126,1234,29.879254457050244
read_76,51.098901098901095,2184,29.861721611721613
read_77,50.5176876617774,2318,29.951682484900775
read_78,50.0495867768595,3025,30.02578512396694
read_79,51.12575507962658,1821,30.063152114222955
read_80,50.322164948453604,3104,29.844394329896907
read_81,49.81353223228556,1877,30.021310602024506
read_82,49.50071326676177,2103,29.781264859724203
read_83,49.463647199046484,3356,29.93802145411204
read_84,49.92716678805535,2746,30.28150036416606
read_85,49.270343804105856,4043,29.99703190699975
read_86,50.27949396881436,3399,30.041482789055603
read_87,50.25046963055729,3194,29.93894802755166
read_88,50.19973368841545,4506,30.062805148690636
read_89,50.332594235033255,1804,29.9390243902439
read_90,49.885688157293096,2187,29.76588934613626
read_91,49.409739301524844,4066,30.00368912936547
read_92,50.71788901823826,2577,30.167248738843618
read_93,49.441786283891545,3762,30.10233918128655
read_94,50.0,902,30.29157427937916
read_95,49.242612366525954,4027,29.853240625776014
read_96,51.11290975313638,4942,30.02772157021449
read_97,49.51523545706371,1444,29.844182825484765
read_98,49.6832358674464,4104,29.97246588693957
read_99,49.710088906068805,2587,29.907228449942018
read_100,48.83846569421934,3702,30.056726094003242
